Bait	Prey	#Rep	#Pep	#Frag	AvgP	BFDR
MEPCE	gi|4507357|gn|TAGLN2:8407| transgelin-2 [Homo sapiens]	3	4	5|5|5|5	0.1128	0.5441
EIF4A2	gi|4507651|gn|TPM4:7171| tropomyosin alpha-4 chain isoform 2 [Homo sapiens]	3	1	5	0.3374	0.3319
MEPCE	gi|4507651|gn|TPM4:7171| tropomyosin alpha-4 chain isoform 2 [Homo sapiens]	3	1	5	0.0068	0.6300
EIF4A2	gi|4507677|gn|HSP90B1:7184| endoplasmin precursor [Homo sapiens]	3	35	5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|10|5|4|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5	0.3594	0.3119
MEPCE	gi|4507677|gn|HSP90B1:7184| endoplasmin precursor [Homo sapiens]	3	35	5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|10|5|4|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5	0.4111	0.2639
EIF4A2	gi|4507729|gn|TUBB2A:7280| tubulin beta-2A chain [Homo sapiens]	3	34	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.2969	0.3722
MEPCE	gi|4507729|gn|TUBB2A:7280| tubulin beta-2A chain [Homo sapiens]	3	34	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1857	0.4777
EIF4A2	gi|4507791|gn|UBE2M:9040| NEDD8-conjugating enzyme Ubc12 [Homo sapiens]	3	1	5	0.2121	0.4563
MEPCE	gi|4507791|gn|UBE2M:9040| NEDD8-conjugating enzyme Ubc12 [Homo sapiens]	3	1	5	0.2640	0.4032
EIF4A2	gi|4507873|gn|VBP1:7411| prefoldin subunit 3 [Homo sapiens]	3	2	5|5	0.1956	0.4695
MEPCE	gi|4507873|gn|VBP1:7411| prefoldin subunit 3 [Homo sapiens]	3	2	5|5	0.0104	0.6244
EIF4A2	gi|4507877|gn|VCL:7414| vinculin isoform VCL [Homo sapiens]	3	2	5|5	0.1948	0.4700
MEPCE	gi|4507877|gn|VCL:7414| vinculin isoform VCL [Homo sapiens]	3	2	5|5	0.2475	0.4202
EIF4A2	gi|4507943|gn|XPO1:7514| exportin-1 [Homo sapiens]	3	4	5|5|5|5	0.2274	0.4429
MEPCE	gi|4507943|gn|XPO1:7514| exportin-1 [Homo sapiens]	3	4	5|5|5|5	0.1644	0.4982
EIF4A2	gi|4507947|gn|YARS:8565| tyrosine--tRNA ligase, cytoplasmic [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.1654	0.4976
MEPCE	gi|4507947|gn|YARS:8565| tyrosine--tRNA ligase, cytoplasmic [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.3526	0.3186
EIF4A2	gi|4507951|gn|YWHAH:7533| 14-3-3 protein eta [Homo sapiens]	3	2	5|5	0.0521	0.5904
MEPCE	gi|4507951|gn|YWHAH:7533| 14-3-3 protein eta [Homo sapiens]	3	2	5|5	0.1589	0.5042
EIF4A2	gi|45359849|gn|G3BP2:9908| ras GTPase-activating protein-binding protein 2 isoform a [Homo sapiens]	3	6	5|5|5|5|5|5	1.0000	0.0000
MEPCE	gi|45359849|gn|G3BP2:9908| ras GTPase-activating protein-binding protein 2 isoform a [Homo sapiens]	3	6	5|5|5|5|5|5	0.3294	0.3392
EIF4A2	gi|45439306|gn|DARS:1615| aspartate--tRNA ligase, cytoplasmic [Homo sapiens]	3	5	5|5|5|5|5	0.1598	0.5032
MEPCE	gi|45439306|gn|DARS:1615| aspartate--tRNA ligase, cytoplasmic [Homo sapiens]	3	5	5|5|5|5|5	0.1543	0.5078
EIF4A2	gi|45446747|gn|DDX42:11325| ATP-dependent RNA helicase DDX42 [Homo sapiens]	3	2	5|5	0.0596	0.5852
MEPCE	gi|45446747|gn|DDX42:11325| ATP-dependent RNA helicase DDX42 [Homo sapiens]	3	2	5|5	0.1359	0.5239
EIF4A2	gi|45446749|gn|KIF5A:3798| kinesin heavy chain isoform 5A [Homo sapiens]	3	4	5|5|5|5	0.0890	0.5641
MEPCE	gi|45446749|gn|KIF5A:3798| kinesin heavy chain isoform 5A [Homo sapiens]	3	4	5|5|5|5	0.1207	0.5368
EIF4A2	gi|4557237|gn|ACAT1:38| acetyl-CoA acetyltransferase, mitochondrial precursor [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.2659	0.4011
MEPCE	gi|4557237|gn|ACAT1:38| acetyl-CoA acetyltransferase, mitochondrial precursor [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.2380	0.4294
EIF4A2	gi|4557241|gn|ACTN3:89| alpha-actinin-3 isoform 1 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.1994	0.4654
MEPCE	gi|4557241|gn|ACTN3:89| alpha-actinin-3 isoform 1 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.0947	0.5581
EIF4A2	gi|4557495|gn|CSTF3:1479| cleavage stimulation factor subunit 3 isoform 1 [Homo sapiens]	3	1	5	0.4972	0.1969
MEPCE	gi|4557495|gn|CSTF3:1479| cleavage stimulation factor subunit 3 isoform 1 [Homo sapiens]	3	1	5	0.0504	0.5913
EIF4A2	gi|4557701|gn|KRT17:3872| keratin, type I cytoskeletal 17 [Homo sapiens]	3	1	5	0.1241	0.5340
MEPCE	gi|4557701|gn|KRT17:3872| keratin, type I cytoskeletal 17 [Homo sapiens]	3	1	5	0.4627	0.2200
EIF4A2	gi|4557809|gn|OAT:4942| ornithine aminotransferase, mitochondrial isoform 1 precursor [Homo sapiens]	3	4	5|5|5|5	0.0336	0.6026
MEPCE	gi|4557809|gn|OAT:4942| ornithine aminotransferase, mitochondrial isoform 1 precursor [Homo sapiens]	3	4	5|5|5|5	0.2882	0.3804
EIF4A2	gi|4557817|gn|OXCT1:5019| succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial precursor [Homo sapiens]	3	1	5	0.0910	0.5613
MEPCE	gi|4557817|gn|OXCT1:5019| succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial precursor [Homo sapiens]	3	1	5	0.0235	0.6099
EIF4A2	gi|45643129|gn|GNL3:26354| guanine nucleotide-binding protein-like 3 isoform 2 [Homo sapiens]	3	3	5|5|5	0.6694	0.1033
MEPCE	gi|45643129|gn|GNL3:26354| guanine nucleotide-binding protein-like 3 isoform 2 [Homo sapiens]	3	3	5|5|5	0.7048	0.0867
EIF4A2	gi|45827771|gn|EDC4:23644| enhancer of mRNA-decapping protein 4 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.5239	0.1781
MEPCE	gi|45827771|gn|EDC4:23644| enhancer of mRNA-decapping protein 4 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.7885	0.0527
EIF4A2	gi|46094014|gn|GSPT2:23708| eukaryotic peptide chain release factor GTP-binding subunit ERF3B [Homo sapiens]	3	1	5	0.2796	0.3876
MEPCE	gi|46094014|gn|GSPT2:23708| eukaryotic peptide chain release factor GTP-binding subunit ERF3B [Homo sapiens]	3	1	5	0.0364	0.6001
EIF4A2	gi|46276893|gn|TCEB2:6923| transcription elongation factor B polypeptide 2 isoform b [Homo sapiens]	3	1	5	0.0152	0.6170
MEPCE	gi|46276893|gn|TCEB2:6923| transcription elongation factor B polypeptide 2 isoform b [Homo sapiens]	3	1	5	0.1580	0.5052
EIF4A2	gi|46367787|gn|PABPC1:26986| polyadenylate-binding protein 1 [Homo sapiens]	3	18	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	1.0000	0.0000
MEPCE	gi|46367787|gn|PABPC1:26986| polyadenylate-binding protein 1 [Homo sapiens]	3	18	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.8214	0.0396
EIF4A2	gi|46389558|gn|ENSA:2029| alpha-endosulfine isoform 6 [Homo sapiens]	3	1	5	0.0407	0.5966
MEPCE	gi|46389558|gn|ENSA:2029| alpha-endosulfine isoform 6 [Homo sapiens]	3	1	5	0.0224	0.6113
EIF4A2	gi|46852388|gn|CCAR1:55749| cell division cycle and apoptosis regulator protein 1 [Homo sapiens]	3	2	5|5	0.3965	0.2774
MEPCE	gi|46852388|gn|CCAR1:55749| cell division cycle and apoptosis regulator protein 1 [Homo sapiens]	3	2	5|5	0.3093	0.3614
EIF4A2	gi|47078238|gn|GPS1:2873| COP9 signalosome complex subunit 1 isoform 1 [Homo sapiens]	3	1	5	0.2064	0.4602
MEPCE	gi|47078238|gn|GPS1:2873| COP9 signalosome complex subunit 1 isoform 1 [Homo sapiens]	3	1	5	0.0735	0.5746
EIF4A2	gi|47271406|gn|MEPCE:56257| 7SK snRNA methylphosphate capping enzyme isoform A [Homo sapiens]	3	64	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.5098	0.1868
MEPCE	gi|47271406|gn|MEPCE:56257| 7SK snRNA methylphosphate capping enzyme isoform A [Homo sapiens]	3	64	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	1.0000	0.0000
EIF4A2	gi|47419920|gn|WARS:7453| tryptophan--tRNA ligase, cytoplasmic isoform b [Homo sapiens]	3	5	5|5|5|5|5	0.1158	0.5424
MEPCE	gi|47419920|gn|WARS:7453| tryptophan--tRNA ligase, cytoplasmic isoform b [Homo sapiens]	3	5	5|5|5|5|5	0.0830	0.5690
EIF4A2	gi|47497976|gn|CHCHD10:400916| coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial precursor [Homo sapiens]	3	1	5	0.3917	0.2828
MEPCE	gi|47497976|gn|CHCHD10:400916| coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial precursor [Homo sapiens]	3	1	5	0.7258	0.0790
EIF4A2	gi|47519490|gn|RTN4:57142| reticulon-4 isoform D [Homo sapiens]	3	1	5	0.0178	0.6147
MEPCE	gi|47519490|gn|RTN4:57142| reticulon-4 isoform D [Homo sapiens]	3	1	5	0.0157	0.6168
EIF4A2	gi|4757810|gn|ATP5A1:498| ATP synthase subunit alpha, mitochondrial isoform a precursor [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.2396	0.4279
MEPCE	gi|4757810|gn|ATP5A1:498| ATP synthase subunit alpha, mitochondrial isoform a precursor [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.3412	0.3285
EIF4A2	gi|4757834|gn|BAG2:9532| BAG family molecular chaperone regulator 2 [Homo sapiens]	3	4	5|5|5|5	0.1957	0.4693
MEPCE	gi|4757834|gn|BAG2:9532| BAG family molecular chaperone regulator 2 [Homo sapiens]	3	4	5|5|5|5	0.1723	0.4903
EIF4A2	gi|4757900|gn|CALR:811| calreticulin precursor [Homo sapiens]	3	7	5|5|5|5|10|5|5	0.2039	0.4622
MEPCE	gi|4757900|gn|CALR:811| calreticulin precursor [Homo sapiens]	3	7	5|5|5|5|10|5|5	0.1003	0.5550
EIF4A2	gi|4758012|gn|CLTC:1213| clathrin heavy chain 1 [Homo sapiens]	3	29	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.2837	0.3839
MEPCE	gi|4758012|gn|CLTC:1213| clathrin heavy chain 1 [Homo sapiens]	3	29	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.2625	0.4051
EIF4A2	gi|4758024|gn|COIL:8161| coilin [Homo sapiens]	3	4	5|5|5|5	0.3413	0.3282
MEPCE	gi|4758024|gn|COIL:8161| coilin [Homo sapiens]	3	4	5|5|5|5	0.8530	0.0320
EIF4A2	gi|4758032|gn|COPB2:9276| coatomer subunit beta' [Homo sapiens]	3	6	5|5|5|5|5|5	0.1358	0.5241
MEPCE	gi|4758032|gn|COPB2:9276| coatomer subunit beta' [Homo sapiens]	3	6	5|5|5|5|5|5	0.2895	0.3793
EIF4A2	gi|4758138|gn|DDX5:1655| probable ATP-dependent RNA helicase DDX5 [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.9997	0.0000
MEPCE	gi|4758138|gn|DDX5:1655| probable ATP-dependent RNA helicase DDX5 [Homo sapiens]	3	10	5|5|5|5|5|5|5|5|5|5	0.9481	0.0097
EIF4A2	gi|4758152|gn|TIMM8A:1678| mitochondrial import inner membrane translocase subunit Tim8 A isoform 1 [Homo sapiens]	3	1	5	0.2751	0.3919
MEPCE	gi|4758152|gn|TIMM8A:1678| mitochondrial import inner membrane translocase subunit Tim8 A isoform 1 [Homo sapiens]	3	1	5	0.3054	0.3647
EIF4A2	gi|4758256|gn|EIF2S1:1965| eukaryotic translation initiation factor 2 subunit 1 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.9947	0.0008
MEPCE	gi|4758256|gn|EIF2S1:1965| eukaryotic translation initiation factor 2 subunit 1 [Homo sapiens]	3	8	5|5|5|5|5|5|5|5	0.7329	0.0756
EIF4A2	gi|4758302|gn|ERH:2079| enhancer of rudimentary homolog [Homo sapiens]	3	1	5	0.0221	0.6115
MEPCE	gi|4758302|gn|ERH:2079| enhancer of rudimentary homolog [Homo sapiens]	3	1	5	0.7655	0.0636
EIF4A2	gi|4758304|gn|PDIA4:9601| protein disulfide-isomerase A4 precursor [Homo sapiens]	3	3	5|5|5	0.4570	0.2263
MEPCE	gi|4758304|gn|PDIA4:9601| protein disulfide-isomerase A4 precursor [Homo sapiens]	3	3	5|5|5	0.3156	0.3530
EIF4A2	gi|4758356|gn|FEN1:2237| flap endonuclease 1 [Homo sapiens]	3	2	5|5	0.2631	0.4043
MEPCE	gi|4758356|gn|FEN1:2237| flap endonuclease 1 [Homo sapiens]	3	2	5|5	0.3245	0.3457
EIF4A2	gi|4758404|gn|FRG1:2483| protein FRG1 [Homo sapiens]	3	3	5|5|5	0.1740	0.4881
MEPCE	gi|4758404|gn|FRG1:2483| protein FRG1 [Homo sapiens]	3	3	5|5|5	0.1600	0.5030
EIF4A2	gi|4758488|gn|GTF2F2:2963| general transcription factor IIF subunit 2 [Homo sapiens]	3	3	5|5|5	0.2041	0.4620
MEPCE	gi|4758488|gn|GTF2F2:2963| general transcription factor IIF subunit 2 [Homo sapiens]	3	3	5|5|5	0.1012	0.5532
EIF4A2	gi|4758504|gn|HSD17B10:3028| 3-hydroxyacyl-CoA dehydrogenase type-2 isoform 1 [Homo sapiens]	3	1	10	0.5086	0.1878
MEPCE	gi|4758504|gn|HSD17B10:3028| 3-hydroxyacyl-CoA dehydrogenase type-2 isoform 1 [Homo sapiens]	3	1	10	0.5499	0.1639
EIF4A2	gi|4758556|gn|PRPF3:9129| U4/U6 small nuclear ribonucleoprotein Prp3 [Homo sapiens]	3	15	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.4842	0.2071
MEPCE	gi|4758556|gn|PRPF3:9129| U4/U6 small nuclear ribonucleoprotein Prp3 [Homo sapiens]	3	15	10|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9993	0.0001
EIF4A2	gi|4758638|gn|PRDX6:9588| peroxiredoxin-6 [Homo sapiens]	3	6	5|5|5|5|5|5	0.1988	0.4661
MEPCE	gi|4758638|gn|PRDX6:9588| peroxiredoxin-6 [Homo sapiens]	3	6	5|5|5|5|5|5	0.0496	0.5914
EIF4A2	gi|4758648|gn|KIF5B:3799| kinesin-1 heavy chain [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.3192	0.3495
MEPCE	gi|4758648|gn|KIF5B:3799| kinesin-1 heavy chain [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.1624	0.5007
EIF4A2	gi|4758756|gn|NAP1L1:4673| nucleosome assembly protein 1-like 1 [Homo sapiens]	3	9	5|5|5|5|5|10|5|5|5	0.8271	0.0379
MEPCE	gi|4758756|gn|NAP1L1:4673| nucleosome assembly protein 1-like 1 [Homo sapiens]	3	9	5|5|5|5|5|10|5|5|5	0.2719	0.3952
EIF4A2	gi|4758762|gn|NARS:4677| asparagine--tRNA ligase, cytoplasmic [Homo sapiens]	3	2	5|5	0.1948	0.4700
MEPCE	gi|4758762|gn|NARS:4677| asparagine--tRNA ligase, cytoplasmic [Homo sapiens]	3	2	5|5	0.0748	0.5737
EIF4A2	gi|4758788|gn|NDUFS3:4722| NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial precursor [Homo sapiens]	3	1	5	0.2351	0.4324
MEPCE	gi|4758788|gn|NDUFS3:4722| NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial precursor [Homo sapiens]	3	1	5	0.2375	0.4301
EIF4A2	gi|4758796|gn|DRG1:4733| developmentally-regulated GTP-binding protein 1 [Homo sapiens]	3	5	5|5|5|5|5	0.3139	0.3555
MEPCE	gi|4758796|gn|DRG1:4733| developmentally-regulated GTP-binding protein 1 [Homo sapiens]	3	5	5|5|5|5|5	0.4320	0.2482
EIF4A2	gi|4758950|gn|PPIB:5479| peptidyl-prolyl cis-trans isomerase B precursor [Homo sapiens]	3	5	5|5|5|5|5	0.0004	0.6427
MEPCE	gi|4758950|gn|PPIB:5479| peptidyl-prolyl cis-trans isomerase B precursor [Homo sapiens]	3	5	5|5|5|5|5	0.0051	0.6323
EIF4A2	gi|4759034|gn|ETF1:2107| eukaryotic peptide chain release factor subunit 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.6035	0.1353
MEPCE	gi|4759034|gn|ETF1:2107| eukaryotic peptide chain release factor subunit 1 [Homo sapiens]	3	11	5|5|5|5|5|5|5|5|5|5|5	0.4309	0.2490
EIF4A2	gi|4759154|gn|SNAP29:9342| synaptosomal-associated protein 29 [Homo sapiens]	3	2	5|5	0.1223	0.5348
MEPCE	gi|4759154|gn|SNAP29:9342| synaptosomal-associated protein 29 [Homo sapiens]	3	2	5|5	0.1783	0.4849
EIF4A2	gi|4759158|gn|SNRPD2:6633| small nuclear ribonucleoprotein Sm D2 isoform 1 [Homo sapiens]	3	1	5	0.0007	0.6419
MEPCE	gi|4759158|gn|SNRPD2:6633| small nuclear ribonucleoprotein Sm D2 isoform 1 [Homo sapiens]	3	1	5	0.0072	0.6291
EIF4A2	gi|4759160|gn|SNRPD3:6634| small nuclear ribonucleoprotein Sm D3 [Homo sapiens]	3	4	5|5|5|5	0.6526	0.1123
MEPCE	gi|4759160|gn|SNRPD3:6634| small nuclear ribonucleoprotein Sm D3 [Homo sapiens]	3	4	5|5|5|5	0.9738	0.0046
EIF4A2	gi|4759212|gn|TBCA:6902| tubulin-specific chaperone A [Homo sapiens]	3	1	5	0.4843	0.2067
MEPCE	gi|4759212|gn|TBCA:6902| tubulin-specific chaperone A [Homo sapiens]	3	1	5	0.1966	0.4686
EIF4A2	gi|4759224|gn|PDCD5:9141| programmed cell death protein 5 [Homo sapiens]	3	5	5|5|5|5|5	0.2389	0.4284
MEPCE	gi|4759224|gn|PDCD5:9141| programmed cell death protein 5 [Homo sapiens]	3	5	5|5|5|5|5	0.0585	0.5864
EIF4A2	gi|4759274|gn|TXNL1:9352| thioredoxin-like protein 1 [Homo sapiens]	3	4	5|5|5|5	0.0839	0.5683
MEPCE	gi|4759274|gn|TXNL1:9352| thioredoxin-like protein 1 [Homo sapiens]	3	4	5|5|5|5	0.0273	0.6069
EIF4A2	gi|47717104|gn|ATP6V1H:51606| V-type proton ATPase subunit H isoform 1 [Homo sapiens]	3	1	5	0.0610	0.5833
MEPCE	gi|47717104|gn|ATP6V1H:51606| V-type proton ATPase subunit H isoform 1 [Homo sapiens]	3	1	5	0.0652	0.5806
EIF4A2	gi|48255891|gn|PRKCSH:5589| glucosidase 2 subunit beta isoform 2 precursor [Homo sapiens]	3	8	5|5|5|5|10|5|5|5	0.2463	0.4223
MEPCE	gi|48255891|gn|PRKCSH:5589| glucosidase 2 subunit beta isoform 2 precursor [Homo sapiens]	3	8	5|5|5|5|10|5|5|5	0.1530	0.5084
EIF4A2	gi|48255931|gn|HDGFRP2:84717| hepatoma-derived growth factor-related protein 2 isoform 1 [Homo sapiens]	3	1	5	0.0697	0.5780
MEPCE	gi|48255931|gn|HDGFRP2:84717| hepatoma-derived growth factor-related protein 2 isoform 1 [Homo sapiens]	3	1	5	0.0204	0.6130
EIF4A2	gi|48255933|gn|HMGN1:3150| non-histone chromosomal protein HMG-14 [Homo sapiens]	3	3	5|5|5	0.1640	0.4984
MEPCE	gi|48255933|gn|HMGN1:3150| non-histone chromosomal protein HMG-14 [Homo sapiens]	3	3	5|5|5	0.0919	0.5598
EIF4A2	gi|4826686|gn|DDX1:1653| ATP-dependent RNA helicase DDX1 [Homo sapiens]	3	16	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.9947	0.0008
MEPCE	gi|4826686|gn|DDX1:1653| ATP-dependent RNA helicase DDX1 [Homo sapiens]	3	16	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.7239	0.0799
EIF4A2	gi|4826730|gn|MTOR:2475| serine/threonine-protein kinase mTOR [Homo sapiens]	3	1	5	0.9822	0.0028
MEPCE	gi|4826730|gn|MTOR:2475| serine/threonine-protein kinase mTOR [Homo sapiens]	3	1	5	0.6308	0.1250
EIF4A2	gi|4826860|gn|NHP2L1:4809| NHP2-like protein 1 [Homo sapiens]	3	2	5|5	0.2521	0.4147
MEPCE	gi|4826860|gn|NHP2L1:4809| NHP2-like protein 1 [Homo sapiens]	3	2	5|5	0.9983	0.0003
EIF4A2	gi|4826870|gn|NUCB2:4925| nucleobindin-2 precursor [Homo sapiens]	3	1	5	0.1079	0.5476
MEPCE	gi|4826870|gn|NUCB2:4925| nucleobindin-2 precursor [Homo sapiens]	3	1	5	0.4614	0.2218
EIF4A2	gi|4826898|gn|PFN1:5216| profilin-1 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.1796	0.4843
MEPCE	gi|4826898|gn|PFN1:5216| profilin-1 [Homo sapiens]	3	7	5|5|5|5|5|5|5	0.1949	0.4697
EIF4A2	gi|4826998|gn|SFPQ:6421| splicing factor, proline- and glutamine-rich [Homo sapiens]	3	17	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	1.0000	0.0000
MEPCE	gi|4826998|gn|SFPQ:6421| splicing factor, proline- and glutamine-rich [Homo sapiens]	3	17	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.5971	0.1403
EIF4A2	gi|48526509|gn|TIMM50:92609| mitochondrial import inner membrane translocase subunit TIM50 [Homo sapiens]	3	3	5|5|5	0.1481	0.5128
MEPCE	gi|48526509|gn|TIMM50:92609| mitochondrial import inner membrane translocase subunit TIM50 [Homo sapiens]	3	3	5|5|5	0.2611	0.4065
EIF4A2	gi|48762920|gn|PFKL:5211| 6-phosphofructokinase, liver type [Homo sapiens]	3	1	5	0.2340	0.4336
MEPCE	gi|48762920|gn|PFKL:5211| 6-phosphofructokinase, liver type [Homo sapiens]	3	1	5	0.1803	0.4830
EIF4A2	gi|48762932|gn|CCT8:10694| T-complex protein 1 subunit theta [Homo sapiens]	3	30	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1373	0.5223
MEPCE	gi|48762932|gn|CCT8:10694| T-complex protein 1 subunit theta [Homo sapiens]	3	30	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.0801	0.5711
EIF4A2	gi|4885063|gn|ALDOC:230| fructose-bisphosphate aldolase C [Homo sapiens]	3	1	5	0.1810	0.4825
MEPCE	gi|4885063|gn|ALDOC:230| fructose-bisphosphate aldolase C [Homo sapiens]	3	1	5	0.0544	0.5882
EIF4A2	gi|4885281|gn|GLUD1:2746| glutamate dehydrogenase 1, mitochondrial precursor [Homo sapiens]	3	5	5|5|5|5|5	0.0200	0.6134
MEPCE	gi|4885281|gn|GLUD1:2746| glutamate dehydrogenase 1, mitochondrial precursor [Homo sapiens]	3	5	5|5|5|5|5	0.1402	0.5198
EIF4A2	gi|4885375|gn|HIST1H1C:3006| histone H1	3	1	5	0.2271	0.4431
MEPCE	gi|4885375|gn|HIST1H1C:3006| histone H1	3	1	5	0.8739	0.0239
EIF4A2	gi|4885379|gn|HIST1H1E:3008| histone H1	3	1	30	0.6568	0.1093
MEPCE	gi|4885379|gn|HIST1H1E:3008| histone H1	3	1	30	0.9923	0.0011
EIF4A2	gi|4885381|gn|HIST1H1B:3009| histone H1	3	1	5	0.0534	0.5889
MEPCE	gi|4885381|gn|HIST1H1B:3009| histone H1	3	1	5	0.8288	0.0375
EIF4A2	gi|4885399|gn|SMC3:9126| structural maintenance of chromosomes protein 3 [Homo sapiens]	3	5	5|5|5|5|5	0.2003	0.4648
MEPCE	gi|4885399|gn|SMC3:9126| structural maintenance of chromosomes protein 3 [Homo sapiens]	3	5	5|5|5|5|5	0.4286	0.2511
EIF4A2	gi|4885583|gn|ROCK1:6093| rho-associated protein kinase 1 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.3948	0.2793
MEPCE	gi|4885583|gn|ROCK1:6093| rho-associated protein kinase 1 [Homo sapiens]	3	9	5|5|5|5|5|5|5|5|5	0.2776	0.3896
EIF4A2	gi|4885649|gn|UBA2:10054| SUMO-activating enzyme subunit 2 [Homo sapiens]	3	5	5|5|5|5|5	0.1488	0.5118
MEPCE	gi|4885649|gn|UBA2:10054| SUMO-activating enzyme subunit 2 [Homo sapiens]	3	5	5|5|5|5|5	0.1004	0.5545
EIF4A2	gi|48928050|gn|FBXW11:23291| F-box/WD repeat-containing protein 11 isoform C [Homo sapiens]	3	1	5	0.8537	0.0312
MEPCE	gi|48928050|gn|FBXW11:23291| F-box/WD repeat-containing protein 11 isoform C [Homo sapiens]	3	1	5	0.3103	0.3605
EIF4A2	gi|49472822|gn|EIF3G:8666| eukaryotic translation initiation factor 3 subunit G [Homo sapiens]	3	23	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	1.0000	0.0000
MEPCE	gi|49472822|gn|EIF3G:8666| eukaryotic translation initiation factor 3 subunit G [Homo sapiens]	3	23	5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5	0.1197	0.5383
EIF4A2	gi|49574532|gn|GSK3A:2931| glycogen synthase kinase-3 alpha [Homo sapiens]	3	1	5	0.2464	0.4220
MEPCE	gi|49574532|gn|GSK3A:2931| glycogen synthase kinase-3 alpha [Homo sapiens]	3	1	5	0.0229	0.6107
EIF4A2	gi|50053795|gn|EIF4B:1975| eukaryotic translation initiation factor 4B [Homo sapiens]	3	40	5|5|5|5|5|10|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.9818	0.0029
MEPCE	gi|50053795|gn|EIF4B:1975| eukaryotic translation initiation factor 4B [Homo sapiens]	3	40	5|5|5|5|5|10|5|5|5|5|5|5|5|10|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|10|5|5|5|5	0.5292	0.1742
EIF4A2	gi|5031569|gn|ACTR1A:10121| alpha-centractin [Homo sapiens]	3	2	5|5	0.1604	0.5025
MEPCE	gi|5031569|gn|ACTR1A:10121| alpha-centractin [Homo sapiens]	3	2	5|5	0.1401	0.5200
